"","X.1","ID","Track","Slice","X","Y","Distance","Velocity","PixelValue","TrackNumber"
"1",1,2,"Head Before",2,33.222,217.299,10.704,7.136,-9010797,221
"2",2,3,"Head Before",3,45.426,239.334,25.189,16.793,-9140598,221
"3",3,4,"Head Before",4,45.426,237.3,2.034,1.356,-9074284,221
"4",4,5,"Head Before",5,38.307,239.334,7.404,4.936,-8551022,221
"5",5,6,"Head Before",6,54.579,240.012,16.286,10.857,-8288365,221
"6",6,7,"Head Before",7,72.207,245.775,18.546,12.364,-8877169,221
"7",7,8,"Head Before",8,105.09,249.165,33.057,22.038,-8878706,221
"8",8,9,"Head Before",9,134.922,232.215,34.311,22.874,-8417906,221
"9",9,10,"Head Before",10,134.244,215.265,16.964,11.309,-8088939,221
"10",10,11,"Head Before",11,147.804,208.146,15.315,10.21,-8878445,221
"11",11,12,"Head Before",12,148.482,186.789,21.368,14.245,-9406595,221
"12",12,13,"Head Before",13,155.601,166.11,21.87,14.58,-8681830,221
"13",13,14,"Head Before",14,162.042,132.888,33.841,22.56,-8747113,221
"14",14,15,"Head Before",15,164.754,127.803,5.763,3.842,-9273967,221
"15",15,16,"Head Before",16,165.432,127.125,0.959,0.639,-8615527,221
"16",16,17,"Head Before",17,171.195,120.006,9.159,6.106,-8942700,221
"17",17,18,"Head Before",18,175.941,114.243,7.466,4.977,-9800052,221
"18",18,19,"Head Before",19,182.382,110.853,7.279,4.852,-8614759,221
"19",19,20,"Head Before",20,190.857,107.124,9.259,6.173,-8090471,221
"20",20,21,"Head Before",21,201.027,96.615,14.624,9.749,-9534321,221
"21",21,22,"Head Before",22,200.349,95.937,0.959,0.639,-8614256,221
"22",22,23,"Head Before",23,199.671,96.615,0.959,0.639,-8943737,221
"23",23,24,"Head Before",24,197.298,96.615,2.373,1.582,-8350825,221
"24",24,25,"Head Before",25,203.061,92.208,7.255,4.837,-8614507,221
"25",25,26,"Head Before",26,201.705,94.92,3.032,2.021,-7892582,221
"26",26,27,"Head Before",27,198.993,96.615,3.198,2.132,-8482409,221
"105",1,2,"Head Before",2,854.958,93.564,16.95,11.3,-9404550,222
"106",2,3,"Head Before",3,849.195,92.886,5.803,3.868,-8813692,222
"107",3,4,"Head Before",4,835.635,90.852,13.712,9.141,-9470595,222
"108",4,5,"Head Before",5,820.719,90.174,14.931,9.954,-8813434,222
"109",5,6,"Head Before",6,802.413,90.174,18.306,12.204,-9273730,222
"110",6,7,"Head Before",7,787.497,92.886,15.161,10.107,-9340540,222
"111",7,8,"Head Before",8,766.818,92.886,20.679,13.786,-9273732,222
"112",8,9,"Head Before",9,819.363,103.056,53.52,35.68,-9995648,222
"113",9,10,"Head Before",10,828.516,103.734,9.178,6.119,-9272705,222
"114",10,11,"Head Before",11,831.567,99.327,5.36,3.573,-9667973,222
"115",11,12,"Head Before",12,841.398,97.293,10.039,6.693,-8683915,222
"116",12,13,"Head Before",13,842.076,100.683,3.457,2.305,-9602181,222
"117",13,14,"Head Before",14,846.483,103.734,5.36,3.573,-9539473,222
"118",14,15,"Head Before",15,850.551,104.412,4.124,2.749,-9669780,222
"119",15,16,"Head Before",16,836.991,105.768,13.628,9.085,-9603471,222
"120",16,17,"Head Before",17,817.329,109.836,20.078,13.386,-9995648,222
"121",17,18,"Head Before",18,796.65,112.209,20.815,13.876,-8878974,222
"122",18,19,"Head Before",19,777.327,113.565,19.371,12.914,-9537424,222
"123",19,20,"Head Before",20,765.462,112.209,11.942,7.961,-8681848,222
"124",20,21,"Head Before",21,755.292,109.158,10.618,7.079,-9471883,222
"125",21,22,"Head Before",22,747.495,107.124,8.058,5.372,-9603208,222
"126",22,23,"Head Before",23,741.054,107.124,6.441,4.294,-9668490,222
"127",23,24,"Head Before",24,714.951,105.768,26.138,17.425,-9669260,222
"128",24,25,"Head Before",25,698.34,109.158,16.953,11.302,-9340802,222
"129",25,26,"Head Before",26,678.678,112.887,20.012,13.342,-9472386,222
"130",26,27,"Head Before",27,651.558,123.396,29.085,19.39,-9273981,222
"131",27,28,"Head Before",28,630.201,131.871,22.977,15.318,-9208452,222
"132",28,29,"Head Before",29,621.726,151.194,21.1,14.067,-8814723,222
"133",29,30,"Head Before",30,623.76,165.432,14.383,9.588,-8681848,222
"134",30,31,"Head Before",31,615.285,184.077,20.481,13.654,-9732989,222
"135",31,32,"Head Before",32,601.725,203.739,23.884,15.923,-9075072,222
"136",32,33,"Head Before",33,601.047,220.011,16.286,10.857,-8812405,222
"137",33,34,"Head Before",34,596.301,228.825,10.011,6.674,-9468801,222
"138",34,35,"Head Before",35,593.928,232.893,4.71,3.14,-9142910,222
"139",35,36,"Head Before",36,590.538,237.3,5.56,3.707,-9010560,222
"140",36,37,"Head Before",37,590.538,240.012,2.712,1.808,-9273467,222
"141",37,38,"Head Before",38,589.86,240.69,0.959,0.639,-9799033,222
"142",38,39,"Head Before",39,591.894,242.046,2.445,1.63,-9601667,222
"143",39,40,"Head Before",40,592.572,247.131,5.13,3.42,-9010044,222
"144",40,41,"Head Before",41,597.657,270.522,23.937,15.958,-8288127,222
"145",41,42,"Head Before",42,608.844,291.201,23.511,15.674,-9141376,222
"146",42,43,"Head Before",43,623.76,291.879,14.931,9.954,-9140865,222
"147",43,44,"Head Before",44,632.574,289.845,9.046,6.03,-9142656,222
"148",44,45,"Head Before",45,631.557,287.133,2.896,1.931,-9078404,222
"149",45,46,"Head Before",46,630.879,285.438,1.826,1.217,-9206658,222
"150",46,47,"Head Before",47,633.252,286.116,2.468,1.645,-9735057,222
"151",47,48,"Head Before",48,636.642,284.082,3.953,2.636,-9141627,222
"152",48,49,"Head Before",49,639.354,280.692,4.341,2.894,-9667714,222
"153",49,50,"Head Before",50,635.964,293.235,12.993,8.662,-9208198,222
"154",50,51,"Head Before",51,639.354,294.252,3.539,2.36,-9470333,222
"155",51,52,"Head Before",52,639.354,296.286,2.034,1.356,-9469055,222
"156",52,53,"Head Before",53,657.999,296.286,18.645,12.43,-9207420,222
"157",53,54,"Head Before",54,677.322,296.964,19.335,12.89,-9272437,222
"158",54,55,"Head Before",55,683.424,295.608,6.251,4.167,-9471097,222
"159",55,56,"Head Before",56,691.56,296.964,8.248,5.499,-9404548,222
"160",56,57,"Head Before",57,703.425,276.963,23.255,15.504,-9469054,222
"161",57,58,"Head Before",58,707.154,267.81,9.883,6.589,-9405569,222
"162",58,59,"Head Before",59,697.662,255.606,15.461,10.307,-9405818,222
"163",59,60,"Head Before",60,693.594,243.741,12.543,8.362,-9142146,222
"164",60,61,"Head Before",61,693.594,237.978,5.763,3.842,-9600892,222
"165",61,62,"Head Before",62,696.984,240.69,4.341,2.894,-9338496,222
"166",62,63,"Head Before",63,694.272,241.368,2.795,1.864,-9600638,222
"167",63,64,"Head Before",64,696.984,240.012,3.032,2.021,-9404801,222
"168",64,65,"Head Before",65,697.662,240.012,0.678,0.452,-9076616,222
"169",65,66,"Head Before",66,693.594,237.3,4.889,3.259,-9011334,222
"170",66,67,"Head Before",67,684.441,232.893,10.159,6.772,-9011584,222
"171",67,68,"Head Before",68,681.39,230.859,3.667,2.445,-8749189,222
"172",68,69,"Head Before",69,680.034,226.452,4.611,3.074,-9012088,222
"173",69,70,"Head Before",70,679.356,227.13,0.959,0.639,-8617346,222
"174",70,71,"Head Before",71,681.39,225.774,2.445,1.63,-9010560,222
"175",71,72,"Head Before",72,680.034,225.774,1.356,0.904,-9406593,222
"176",72,73,"Head Before",73,679.356,225.096,0.959,0.639,-9075583,222
"177",73,74,"Head Before",74,679.356,224.418,0.678,0.452,-9142657,222
"178",74,75,"Head Before",75,679.356,224.418,0,0,-9075072,222
"179",75,76,"Head Before",76,679.356,225.096,0.678,0.452,-8683899,222
"180",76,77,"Head Before",77,677.322,225.096,2.034,1.356,-9209483,222
"181",77,78,"Head Before",78,675.627,223.062,2.648,1.765,-9010560,222
"182",78,79,"Head Before",79,671.559,228.147,6.512,4.341,-9142659,222
"183",79,80,"Head Before",80,672.915,227.13,1.695,1.13,-9075577,222
"184",80,81,"Head Before",81,670.881,224.418,3.39,2.26,-9340038,222
"185",81,82,"Head Before",82,672.237,222.384,2.445,1.63,-9209742,222
"186",82,83,"Head Before",83,670.203,222.384,2.034,1.356,-9274242,222
"187",83,84,"Head Before",84,672.237,218.655,4.248,2.832,-8945537,222
"188",84,85,"Head Before",85,669.525,221.706,4.082,2.721,-8881027,222
"189",85,86,"Head Before",86,668.508,221.028,1.222,0.815,-9339774,222
"190",86,87,"Head Before",87,669.525,219.333,1.977,1.318,-8879487,222
"191",87,88,"Head Before",88,668.508,221.706,2.582,1.721,-8880514,222
"192",88,89,"Head Before",89,670.203,218.655,3.49,2.327,-9142144,222
"193",89,90,"Head Before",90,667.152,221.706,4.315,2.877,-9142920,222
"194",90,91,"Head Before",91,667.152,221.028,0.678,0.452,-9078154,222
"195",91,92,"Head Before",92,667.152,221.028,0,0,-8946309,222
"196",92,93,"Head Before",93,667.152,218.655,2.373,1.582,-9273985,222
"197",93,94,"Head Before",94,664.44,218.655,2.712,1.808,-8878974,222
"198",94,95,"Head Before",95,664.44,218.655,0,0,-9010558,222
"199",95,96,"Head Before",96,663.084,217.977,1.516,1.011,-9208192,222
"200",96,97,"Head Before",97,662.406,217.299,0.959,0.639,-9406082,222
"201",97,98,"Head Before",98,661.389,215.265,2.274,1.516,-9208963,222
"202",98,99,"Head Before",99,660.711,215.943,0.959,0.639,-9076604,222
"203",99,100,"Head Before",100,660.033,215.943,0.678,0.452,-8944767,222
"204",100,101,"Head Before",101,658.677,217.299,1.918,1.278,-9536387,222
"205",101,102,"Head Before",102,657.999,215.265,2.144,1.429,-10128261,222
"206",102,103,"Head Before",103,655.287,215.265,2.712,1.808,-8945278,222
"207",103,104,"Head Before",104,651.558,215.943,3.79,2.527,-9404548,222
"208",104,105,"Head Before",105,650.202,214.587,1.918,1.278,-9472134,222
"209",105,106,"Head Before",106,648.168,216.621,2.877,1.918,-9537153,222
"210",106,107,"Head Before",107,647.49,217.299,0.959,0.639,-9537676,222
"211",107,108,"Head Before",108,648.168,216.621,0.959,0.639,-9075583,222
"212",108,109,"Head Before",109,648.168,217.299,0.678,0.452,-9208202,222
"213",109,110,"Head Before",110,648.846,215.943,1.516,1.011,-9339008,222
"214",110,111,"Head Before",111,650.202,215.265,1.516,1.011,-9011071,222
"215",111,112,"Head Before",112,651.558,212.892,2.733,1.822,-8879487,222
"216",112,113,"Head Before",113,652.914,212.214,1.516,1.011,-9342859,222
"217",113,114,"Head Before",114,652.914,212.892,0.678,0.452,-8683650,222
"218",114,115,"Head Before",115,656.643,217.977,6.306,4.204,-11775917,222
"219",115,116,"Head Before",116,655.965,218.655,0.959,0.639,-11840934,222
"220",116,117,"Head Before",117,654.609,216.621,2.445,1.63,-9799306,222
"221",117,118,"Head Before",118,656.643,216.621,2.034,1.356,-9999259,222
"222",118,119,"Head Before",119,653.592,216.621,3.051,2.034,-9800848,222
"223",119,120,"Head Before",120,653.592,216.621,0,0,-9405320,222
"224",120,121,"Head Before",121,660.711,217.299,7.151,4.767,-11639467,222
"225",121,122,"Head Before",122,658.677,214.587,3.39,2.26,-9932182,222
"589",1,2,"Head Before",2,83.733,516.636,50.196,33.464,-8552062,223
"590",2,3,"Head Before",3,96.615,514.263,13.099,8.732,-8681595,223
"591",3,4,"Head Before",4,119.328,504.432,24.749,16.5,-8617079,223
"592",4,5,"Head Before",5,144.075,464.769,46.75,31.167,-9207672,223
"593",5,6,"Head Before",6,162.72,450.531,23.46,15.64,-8816514,223
"594",6,7,"Head Before",7,176.958,429.174,25.668,17.112,-8948349,223
